,color,codigo,RGB,R,G,B
0,Process Yellow,#f7e214,"(247, 226, 20)",247,226,20
1,PMS 100,#f4ed7c,"(244, 237, 124)",244,237,124
2,PMS 101,#f4ed47,"(244, 237, 71)",244,237,71
3,PMS 102,#f9e814,"(249, 232, 20)",249,232,20
4,Pantone Yellow,#ad9b0c,"(173, 155, 12)",173,155,12
5,PMS 103,#c6ad0f,"(198, 173, 15)",198,173,15
6,PMS 104,#ad9b0c,"(173, 155, 12)",173,155,12
7,PMS 105,#82750f,"(130, 117, 15)",130,117,15
8,PMS 106,#f7e859,"(247, 232, 89)",247,232,89
9,PMS 107,#f9e526,"(249, 229, 38)",249,229,38
10,PMS 108,#f7dd16,"(247, 221, 22)",247,221,22
11,PMS 109,#f9d616,"(249, 214, 22)",249,214,22
12,PMS 110,#d8b511,"(216, 181, 17)",216,181,17
13,PMS 111,#aa930a,"(170, 147, 10)",170,147,10
14,PMS 112,#99840a,"(153, 132, 10)",153,132,10
15,PMS 113,#f9e55b,"(249, 229, 91)",249,229,91
16,PMS 114,#f9e24c,"(249, 226, 76)",249,226,76
17,PMS 115,#f9e04c,"(249, 224, 76)",249,224,76
18,PMS 116,#fcd116,"(252, 209, 22)",252,209,22
19,PMS 117,#c6a00c,"(198, 160, 12)",198,160,12
20,PMS 118,#aa8e0a,"(170, 142, 10)",170,142,10
21,PMS 119,#897719,"(137, 119, 25)",137,119,25
22,PMS 120,#f9e27f,"(249, 226, 127)",249,226,127
23,PMS 121,#f9e070,"(249, 224, 112)",249,224,112
24,PMS 122,#fcd856,"(252, 216, 86)",252,216,86
25,PMS 123,#ffc61e,"(255, 198, 30)",255,198,30
26,PMS 124,#e0aa0f,"(224, 170, 15)",224,170,15
27,PMS 125,#b58c0a,"(181, 140, 10)",181,140,10
28,PMS 1205,#f7e8aa,"(247, 232, 170)",247,232,170
29,PMS 1215,#f9e08c,"(249, 224, 140)",249,224,140
30,PMS 1225,#ffcc49,"(255, 204, 73)",255,204,73
31,PMS 1235,#fcb514,"(252, 181, 20)",252,181,20
32,PMS 1245,#bf910c,"(191, 145, 12)",191,145,12
33,PMS 1255,#a37f14,"(163, 127, 20)",163,127,20
34,PMS 1265,#7c6316,"(124, 99, 22)",124,99,22
35,PMS 127,#f4e287,"(244, 226, 135)",244,226,135
36,PMS 128,#f4db60,"(244, 219, 96)",244,219,96
37,PMS 129,#f2d13d,"(242, 209, 61)",242,209,61
38,PMS 130,#eaaf0f,"(234, 175, 15)",234,175,15
39,PMS 131,#c6930a,"(198, 147, 10)",198,147,10
40,PMS 132,#9e7c0a,"(158, 124, 10)",158,124,10
41,PMS 133,#705b0a,"(112, 91, 10)",112,91,10
42,PMS 134,#ffd87f,"(255, 216, 127)",255,216,127
43,PMS 135,#fcc963,"(252, 201, 99)",252,201,99
44,PMS 136,#fcbf49,"(252, 191, 73)",252,191,73
45,PMS 137,#fca311,"(252, 163, 17)",252,163,17
46,PMS 138,#d88c02,"(216, 140, 2)",216,140,2
47,PMS 139,#af7505,"(175, 117, 5)",175,117,5
48,PMS 140,#7a5b11,"(122, 91, 17)",122,91,17
49,PMS 1345,#ffd691,"(255, 214, 145)",255,214,145
50,PMS 1355,#fcce87,"(252, 206, 135)",252,206,135
51,PMS 1365,#fcba5e,"(252, 186, 94)",252,186,94
52,PMS 1375,#f99b0c,"(249, 155, 12)",249,155,12
53,PMS 1385,#cc7a02,"(204, 122, 2)",204,122,2
54,PMS 1395,#996007,"(153, 96, 7)",153,96,7
55,PMS 1405,#6b4714,"(107, 71, 20)",107,71,20
56,PMS 141,#f2ce68,"(242, 206, 104)",242,206,104
57,PMS 142,#f2bf49,"(242, 191, 73)",242,191,73
58,PMS 143,#efb22d,"(239, 178, 45)",239,178,45
59,PMS 144,#e28c05,"(226, 140, 5)",226,140,5
60,PMS 145,#c67f07,"(198, 127, 7)",198,127,7
61,PMS 146,#9e6b05,"(158, 107, 5)",158,107,5
62,PMS 147,#725e26,"(114, 94, 38)",114,94,38
63,PMS 148,#ffd69b,"(255, 214, 155)",255,214,155
64,PMS 149,#fccc93,"(252, 204, 147)",252,204,147
65,PMS 150,#fcad56,"(252, 173, 86)",252,173,86
66,PMS 151,#f77f00,"(247, 127, 0)",247,127,0
