,color,codigo,RGB,R,G,B,visual
0,PMS 471,#a34402,"(163, 68, 2)",163,68,2,
1,PMS 464,#704214,"(112, 66, 20)",112,66,20,
2,PMS 433,#0a0c11,"(10, 12, 17)",10,12,17,
3,Black 2,#3a3321,"(58, 51, 33)",58,51,33,
4,Black 3,#282d26,"(40, 45, 38)",40,45,38,
5,Black 4,#3d3023,"(61, 48, 35)",61,48,35,
6,Black 5,#422d2d,"(66, 45, 45)",66,45,45,
7,Black 6,#1c2630,"(28, 38, 48)",28,38,48,
8,Black 7,#443d38,"(68, 61, 56)",68,61,56,
9,Black 2,#111111,"(17, 17, 17)",17,17,17,
10,Black 3,#111114,"(17, 17, 20)",17,17,20,
11,Black 4,#0f0f0f,"(15, 15, 15)",15,15,15,
12,Black 5,#110c0f,"(17, 12, 15)",17,12,15,
13,Black 6,#070c0f,"(7, 12, 15)",7,12,15,
14,PMS 710,#e04251,"(224, 66, 81)",224,66,81,
15,PMS 703,#b73844,"(183, 56, 68)",183,56,68,
16,PMS 483,#6b3021,"(107, 48, 33)",107,48,33,
17,PMS 484,#9b301c,"(155, 48, 28)",155,48,28,
18,PMS 469,#603311,"(96, 51, 17)",96,51,17,
19,PMS 4695,#51261c,"(81, 38, 28)",81,38,28,
20,PMS 4705,#7c513d,"(124, 81, 61)",124,81,61,
21,PMS 1788,#ef2b2d,"(239, 43, 45)",239,43,45,
22,PMS 1795,#d62828,"(214, 40, 40)",214,40,40,
23,PMS 1805,#af2626,"(175, 38, 38)",175,38,38,
24,PMS 1815,#7c211e,"(124, 33, 30)",124,33,30,
25,PMS 1767,#f9b2b7,"(249, 178, 183)",249,178,183,
26,PMS 1777,#fc6675,"(252, 102, 117)",252,102,117,
27,PMS 1787,#f43f4f,"(244, 63, 79)",244,63,79,
28,Red 032,#ef2b2d,"(239, 43, 45)",239,43,45,
29,PMS 1797,#cc2d30,"(204, 45, 48)",204,45,48,
30,PMS 1807,#a03033,"(160, 48, 51)",160,48,51,
31,PMS 1817,#5b2d28,"(91, 45, 40)",91,45,40,
32,PMS 182,#f9bfc1,"(249, 191, 193)",249,191,193,
33,PMS 183,#fc8c99,"(252, 140, 153)",252,140,153,
34,PMS 184,#fc5e72,"(252, 94, 114)",252,94,114,
35,PMS 185,#e8112d,"(232, 17, 45)",232,17,45,
36,PMS 186,#ce1126,"(206, 17, 38)",206,17,38,
37,PMS 187,#af1e2d,"(175, 30, 45)",175,30,45,
38,PMS 188,#7c2128,"(124, 33, 40)",124,33,40,
39,PMS 189,#ffa3b2,"(255, 163, 178)",255,163,178,
40,PMS 190,#fc758e,"(252, 117, 142)",252,117,142,
41,PMS 191,#f4476b,"(244, 71, 107)",244,71,107,
42,PMS 192,#e5053a,"(229, 5, 58)",229,5,58,
43,PMS 193,#bf0a30,"(191, 10, 48)",191,10,48,
44,PMS 194,#992135,"(153, 33, 53)",153,33,53,
45,PMS 490,#5b2626,"(91, 38, 38)",91,38,38,
46,PMS 491,#752828,"(117, 40, 40)",117,40,40,
47,PMS 497,#512826,"(81, 40, 38)",81,40,38,
48,PMS 498,#6d332b,"(109, 51, 43)",109,51,43,
