,color,codigo,RGB,R,G,B
0,Warm Gray,#c1b5a5,"(193, 181, 165)",193,181,165
1,Warm Gray,#b5a899,"(181, 168, 153)",181,168,153
2,Warm Gray,#afa393,"(175, 163, 147)",175,163,147
3,Warm Gray,#a39687,"(163, 150, 135)",163,150,135
4,Warm Gray,#96897a,"(150, 137, 122)",150,137,122
5,Warm Gray,#8c7f70,"(140, 127, 112)",140,127,112
6,Warm Gray,#827263,"(130, 114, 99)",130,114,99
7,Warm Gray,#6d5e51,"(109, 94, 81)",109,94,81
8,Cool Gray,#e8e2d6,"(232, 226, 214)",232,226,214
9,Cool Gray,#ddd8ce,"(221, 216, 206)",221,216,206
10,Cool Gray,#d3cec4,"(211, 206, 196)",211,206,196
11,Cool Gray,#c4c1ba,"(196, 193, 186)",196,193,186
12,Cool Gray,#bab7af,"(186, 183, 175)",186,183,175
13,Cool Gray,#b5b2aa,"(181, 178, 170)",181,178,170
14,Cool Gray,#a5a39e,"(165, 163, 158)",165,163,158
15,Cool Gray,#9b9993,"(155, 153, 147)",155,153,147
16,Cool Gray,#8c8984,"(140, 137, 132)",140,137,132
17,Cool Gray,#777772,"(119, 119, 114)",119,119,114
18,Cool Gray,#686663,"(104, 102, 99)",104,102,99
19,PMS 448,#54472d,"(84, 71, 45)",84,71,45
20,PMS 449,#544726,"(84, 71, 38)",84,71,38
21,PMS 450,#60542b,"(96, 84, 43)",96,84,43
22,PMS 451,#ada07a,"(173, 160, 122)",173,160,122
23,PMS 452,#c4b796,"(196, 183, 150)",196,183,150
24,PMS 453,#d6ccaf,"(214, 204, 175)",214,204,175
25,PMS 454,#e2d8bf,"(226, 216, 191)",226,216,191
26,PMS 4485,#604c11,"(96, 76, 17)",96,76,17
27,PMS 4495,#877530,"(135, 117, 48)",135,117,48
28,PMS 4505,#a09151,"(160, 145, 81)",160,145,81
29,PMS 4515,#bcad75,"(188, 173, 117)",188,173,117
30,PMS 4525,#ccbf8e,"(204, 191, 142)",204,191,142
31,PMS 4535,#dbcea5,"(219, 206, 165)",219,206,165
32,PMS 4545,#e5dbba,"(229, 219, 186)",229,219,186
33,PMS 455,#665614,"(102, 86, 20)",102,86,20
34,PMS 456,#998714,"(153, 135, 20)",153,135,20
35,PMS 457,#b59b0c,"(181, 155, 12)",181,155,12
36,PMS 458,#ddcc6b,"(221, 204, 107)",221,204,107
37,PMS 459,#e2d67c,"(226, 214, 124)",226,214,124
38,PMS 460,#eadd96,"(234, 221, 150)",234,221,150
39,PMS 461,#ede5ad,"(237, 229, 173)",237,229,173
40,PMS 462,#5b4723,"(91, 71, 35)",91,71,35
41,PMS 463,#755426,"(117, 84, 38)",117,84,38
42,PMS 464,#876028,"(135, 96, 40)",135,96,40
43,PMS 465,#c1a875,"(193, 168, 117)",193,168,117
44,PMS 466,#d1bf91,"(209, 191, 145)",209,191,145
45,PMS 467,#ddcca5,"(221, 204, 165)",221,204,165
46,PMS 468,#e2d6b5,"(226, 214, 181)",226,214,181
47,PMS 4625,#472311,"(71, 35, 17)",71,35,17
48,PMS 4635,#8c5933,"(140, 89, 51)",140,89,51
49,PMS 4645,#b28260,"(178, 130, 96)",178,130,96
50,PMS 4655,#c49977,"(196, 153, 119)",196,153,119
51,PMS 4665,#d8b596,"(216, 181, 150)",216,181,150
52,PMS 4675,#e5c6aa,"(229, 198, 170)",229,198,170
53,PMS 4685,#edd3bc,"(237, 211, 188)",237,211,188
54,PMS 469,#603311,"(96, 51, 17)",96,51,17
55,PMS 4695,#51261c,"(81, 38, 28)",81,38,28
56,PMS 4705,#7c513d,"(124, 81, 61)",124,81,61
57,PMS 4715,#99705b,"(153, 112, 91)",153,112,91
58,PMS 4725,#b5917c,"(181, 145, 124)",181,145,124
59,PMS 4735,#ccaf9b,"(204, 175, 155)",204,175,155
60,PMS 4745,#d8bfaa,"(216, 191, 170)",216,191,170
61,PMS 4755,#e2ccba,"(226, 204, 186)",226,204,186
62,PMS 476,#593d2b,"(89, 61, 43)",89,61,43
63,PMS 477,#633826,"(99, 56, 38)",99,56,38
64,PMS 478,#7a3f28,"(122, 63, 40)",122,63,40
65,PMS 479,#af8970,"(175, 137, 112)",175,137,112
66,PMS 480,#d3b7a3,"(211, 183, 163)",211,183,163
67,PMS 481,#e0ccba,"(224, 204, 186)",224,204,186
68,PMS 482,#e5d3c1,"(229, 211, 193)",229,211,193
69,PMS 483,#6b3021,"(107, 48, 33)",107,48,33
70,PMS 484,#9b301c,"(155, 48, 28)",155,48,28
71,PMS 485,#d81e05,"(216, 30, 5)",216,30,5
72,PMS 486,#ed9e84,"(237, 158, 132)",237,158,132
73,PMS 487,#efb5a0,"(239, 181, 160)",239,181,160
74,PMS 488,#f2c4af,"(242, 196, 175)",242,196,175
75,PMS 489,#f2d1bf,"(242, 209, 191)",242,209,191
76,PMS 490,#5b2626,"(91, 38, 38)",91,38,38
77,PMS 491,#752828,"(117, 40, 40)",117,40,40
78,PMS 492,#913338,"(145, 51, 56)",145,51,56
79,PMS 493,#db828c,"(219, 130, 140)",219,130,140
80,PMS 494,#f2adb2,"(242, 173, 178)",242,173,178
81,PMS 495,#f4bcbf,"(244, 188, 191)",244,188,191
82,PMS 496,#f7c9c6,"(247, 201, 198)",247,201,198
83,PMS 497,#512826,"(81, 40, 38)",81,40,38
84,PMS 498,#6d332b,"(109, 51, 43)",109,51,43
85,PMS 499,#7a382d,"(122, 56, 45)",122,56,45
86,PMS 500,#ce898c,"(206, 137, 140)",206,137,140
87,PMS 501,#eab2b2,"(234, 178, 178)",234,178,178
88,PMS 502,#f2c6c4,"(242, 198, 196)",242,198,196
89,PMS 503,#f4d1cc,"(244, 209, 204)",244,209,204
90,PMS 4975,#441e1c,"(68, 30, 28)",68,30,28
91,PMS 4985,#844949,"(132, 73, 73)",132,73,73
92,PMS 4995,#a56b6d,"(165, 107, 109)",165,107,109
93,PMS 5005,#bc8787,"(188, 135, 135)",188,135,135
94,PMS 5015,#d8ada8,"(216, 173, 168)",216,173,168
95,PMS 5025,#e2bcb7,"(226, 188, 183)",226,188,183
96,PMS 5035,#edcec6,"(237, 206, 198)",237,206,198
97,PMS 504,#511e26,"(81, 30, 38)",81,30,38
98,PMS 505,#661e2b,"(102, 30, 43)",102,30,43
99,PMS 506,#7a2638,"(122, 38, 56)",122,38,56
100,PMS 507,#d8899b,"(216, 137, 155)",216,137,155
101,PMS 508,#e8a5af,"(232, 165, 175)",232,165,175
102,PMS 509,#f2babf,"(242, 186, 191)",242,186,191
103,PMS 510,#f4c6c9,"(244, 198, 201)",244,198,201
104,PMS 511,#602144,"(96, 33, 68)",96,33,68
105,PMS 512,#84216b,"(132, 33, 107)",132,33,107
106,PMS 513,#9e2387,"(158, 35, 135)",158,35,135
107,PMS 514,#d884bc,"(216, 132, 188)",216,132,188
108,PMS 515,#e8a3c9,"(232, 163, 201)",232,163,201
109,PMS 516,#f2bad3,"(242, 186, 211)",242,186,211
110,PMS 517,#f4ccd8,"(244, 204, 216)",244,204,216
111,PMS 5115,#4f213a,"(79, 33, 58)",79,33,58
112,PMS 5125,#754760,"(117, 71, 96)",117,71,96
113,PMS 5135,#936b7f,"(147, 107, 127)",147,107,127
114,PMS 5145,#ad8799,"(173, 135, 153)",173,135,153
115,PMS 5155,#ccafb7,"(204, 175, 183)",204,175,183
116,PMS 5165,#e0c9cc,"(224, 201, 204)",224,201,204
117,PMS 5175,#e8d6d1,"(232, 214, 209)",232,214,209
