,color,codigo,RGB,R,G,B
0,PMS 218,#ed72aa,"(237, 114, 170)",237,114,170
1,PMS 219,#e22882,"(226, 40, 130)",226,40,130
2,Rubine Red,#d10056,"(209, 0, 86)",209,0,86
3,PMS 220,#aa004f,"(170, 0, 79)",170,0,79
4,PMS 221,#930042,"(147, 0, 66)",147,0,66
5,PMS 222,#70193d,"(112, 25, 61)",112,25,61
6,PMS 223,#f993c4,"(249, 147, 196)",249,147,196
7,PMS 224,#f46baf,"(244, 107, 175)",244,107,175
8,PMS 225,#ed2893,"(237, 40, 147)",237,40,147
9,PMS 226,#d60270,"(214, 2, 112)",214,2,112
10,PMS 227,#ad005b,"(173, 0, 91)",173,0,91
11,PMS 228,#8c004c,"(140, 0, 76)",140,0,76
12,PMS 229,#6d213f,"(109, 33, 63)",109,33,63
13,PMS 230,#ffa0cc,"(255, 160, 204)",255,160,204
14,PMS 231,#fc70ba,"(252, 112, 186)",252,112,186
15,PMS 232,#f43fa5,"(244, 63, 165)",244,63,165
16,Rhodamine Red,#ed0091,"(237, 0, 145)",237,0,145
17,PMS 233,#ce007c,"(206, 0, 124)",206,0,124
18,PMS 234,#aa0066,"(170, 0, 102)",170,0,102
19,PMS 235,#8e0554,"(142, 5, 84)",142,5,84
20,PMS 236,#f9afd3,"(249, 175, 211)",249,175,211
21,PMS 237,#f484c4,"(244, 132, 196)",244,132,196
22,PMS 238,#ed4faf,"(237, 79, 175)",237,79,175
23,PMS 239,#e0219e,"(224, 33, 158)",224,33,158
24,PMS 240,#c40f89,"(196, 15, 137)",196,15,137
25,PMS 241,#ad0075,"(173, 0, 117)",173,0,117
26,PMS 242,#7c1c51,"(124, 28, 81)",124,28,81
27,PMS 2365,#f7c4d8,"(247, 196, 216)",247,196,216
28,PMS 2375,#ea6bbf,"(234, 107, 191)",234,107,191
29,PMS 2385,#db28a5,"(219, 40, 165)",219,40,165
30,PMS 2395,#c4008c,"(196, 0, 140)",196,0,140
31,PMS 2405,#a8007a,"(168, 0, 122)",168,0,122
32,PMS 2415,#9b0070,"(155, 0, 112)",155,0,112
33,PMS 2425,#87005b,"(135, 0, 91)",135,0,91
34,PMS 243,#f2bad8,"(242, 186, 216)",242,186,216
35,PMS 244,#eda0d3,"(237, 160, 211)",237,160,211
36,PMS 245,#e87fc9,"(232, 127, 201)",232,127,201
37,PMS 246,#cc00a0,"(204, 0, 160)",204,0,160
38,PMS 247,#b7008e,"(183, 0, 142)",183,0,142
