,color,codigo,RGB,R,G,B,visual
0,Process Yellow,#f7e214,"(247, 226, 20)",247,226,20,
1,PMS 100,#f4ed7c,"(244, 237, 124)",244,237,124,
2,PMS 101,#f4ed47,"(244, 237, 71)",244,237,71,
3,PMS 102,#f9e814,"(249, 232, 20)",249,232,20,
4,Pantone Yellow,#ad9b0c,"(173, 155, 12)",173,155,12,
5,PMS 103,#c6ad0f,"(198, 173, 15)",198,173,15,
6,PMS 104,#ad9b0c,"(173, 155, 12)",173,155,12,
7,PMS 105,#82750f,"(130, 117, 15)",130,117,15,
8,PMS 106,#f7e859,"(247, 232, 89)",247,232,89,
9,PMS 107,#f9e526,"(249, 229, 38)",249,229,38,
10,PMS 108,#f7dd16,"(247, 221, 22)",247,221,22,
11,PMS 109,#f9d616,"(249, 214, 22)",249,214,22,
12,PMS 110,#d8b511,"(216, 181, 17)",216,181,17,
13,PMS 111,#aa930a,"(170, 147, 10)",170,147,10,
14,PMS 112,#99840a,"(153, 132, 10)",153,132,10,
15,PMS 113,#f9e55b,"(249, 229, 91)",249,229,91,
16,PMS 114,#f9e24c,"(249, 226, 76)",249,226,76,
17,PMS 115,#f9e04c,"(249, 224, 76)",249,224,76,
18,PMS 116,#fcd116,"(252, 209, 22)",252,209,22,
19,PMS 117,#c6a00c,"(198, 160, 12)",198,160,12,
20,PMS 118,#aa8e0a,"(170, 142, 10)",170,142,10,
21,PMS 119,#897719,"(137, 119, 25)",137,119,25,
22,PMS 120,#f9e27f,"(249, 226, 127)",249,226,127,
23,PMS 121,#f9e070,"(249, 224, 112)",249,224,112,
24,PMS 122,#fcd856,"(252, 216, 86)",252,216,86,
25,PMS 123,#ffc61e,"(255, 198, 30)",255,198,30,
26,PMS 124,#e0aa0f,"(224, 170, 15)",224,170,15,
27,PMS 125,#b58c0a,"(181, 140, 10)",181,140,10,
28,PMS 1205,#f7e8aa,"(247, 232, 170)",247,232,170,
29,PMS 1215,#f9e08c,"(249, 224, 140)",249,224,140,
30,PMS 1225,#ffcc49,"(255, 204, 73)",255,204,73,
31,PMS 1235,#fcb514,"(252, 181, 20)",252,181,20,
32,PMS 1245,#bf910c,"(191, 145, 12)",191,145,12,
33,PMS 1255,#a37f14,"(163, 127, 20)",163,127,20,
34,PMS 1265,#7c6316,"(124, 99, 22)",124,99,22,
35,PMS 127,#f4e287,"(244, 226, 135)",244,226,135,
36,PMS 128,#f4db60,"(244, 219, 96)",244,219,96,
37,PMS 129,#f2d13d,"(242, 209, 61)",242,209,61,
38,PMS 130,#eaaf0f,"(234, 175, 15)",234,175,15,
39,PMS 131,#c6930a,"(198, 147, 10)",198,147,10,
40,PMS 132,#9e7c0a,"(158, 124, 10)",158,124,10,
41,PMS 133,#705b0a,"(112, 91, 10)",112,91,10,
42,PMS 134,#ffd87f,"(255, 216, 127)",255,216,127,
43,PMS 135,#fcc963,"(252, 201, 99)",252,201,99,
44,PMS 136,#fcbf49,"(252, 191, 73)",252,191,73,
45,PMS 1925,#e00747,"(224, 7, 71)",224,7,71,
46,PMS 1935,#c10538,"(193, 5, 56)",193,5,56,
47,PMS 1945,#a80c35,"(168, 12, 53)",168,12,53,
48,PMS 1955,#931638,"(147, 22, 56)",147,22,56,
49,PMS 196,#f4c9c9,"(244, 201, 201)",244,201,201,
50,PMS 197,#ef99a3,"(239, 153, 163)",239,153,163,
51,PMS 198,#e5566d,"(229, 86, 109)",229,86,109,
52,PMS 199,#d81c3f,"(216, 28, 63)",216,28,63,
53,PMS 200,#c41e3a,"(196, 30, 58)",196,30,58,
54,PMS 201,#a32638,"(163, 38, 56)",163,38,56,
55,PMS 202,#8c2633,"(140, 38, 51)",140,38,51,
56,PMS 203,#f2afc1,"(242, 175, 193)",242,175,193,
57,PMS 204,#ed7a9e,"(237, 122, 158)",237,122,158,
58,PMS 205,#e54c7c,"(229, 76, 124)",229,76,124,
59,PMS 206,#d30547,"(211, 5, 71)",211,5,71,
60,PMS 207,#af003d,"(175, 0, 61)",175,0,61,
61,PMS 208,#8e2344,"(142, 35, 68)",142,35,68,
62,PMS 209,#75263d,"(117, 38, 61)",117,38,61,
63,PMS 210,#ffa0bf,"(255, 160, 191)",255,160,191,
64,PMS 211,#ff77a8,"(255, 119, 168)",255,119,168,
